
NorNE_ne_CF_MATRIX_NO_O_norbert2_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,62,1,1,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0
I-DRV,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,2,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
I-EVT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
B-GPE_LOC,0,1,1,0,395,1,7,0,11,0,0,0,7,0,2,0,1,0
I-GPE_LOC,0,0,0,0,0,76,0,1,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,15,0,41,0,1,0,0,0,3,0,1,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,14,0,0,0,143,1,0,0,5,0,5,0,1,0
I-LOC,0,0,0,0,0,0,0,0,2,74,0,0,0,0,1,4,0,1
B-MISC,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B-ORG,1,0,0,0,2,0,0,0,16,0,0,0,444,2,18,0,7,0
I-ORG,0,0,0,0,4,0,0,0,0,12,0,0,6,173,0,13,0,8
B-PER,1,0,0,0,0,0,1,0,2,0,0,0,14,0,877,7,2,1
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,498,0,0
B-PROD,4,0,0,0,0,0,1,0,3,0,0,0,15,0,9,0,70,1
I-PROD,0,1,0,0,2,0,0,0,6,1,0,0,0,1,1,5,0,55

NorNE_ne_CF_MATRIX_NO_O_norbert2_seed_1024
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,62,1,1,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0
I-DRV,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,1,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
I-EVT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
B-GPE_LOC,0,1,0,0,390,1,11,0,12,0,0,0,6,0,1,0,2,0
I-GPE_LOC,0,0,0,0,0,74,0,3,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,15,0,43,0,0,0,0,0,2,0,0,1,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,1,0,12,0,0,0,142,0,0,0,9,0,6,0,0,0
I-LOC,0,0,0,0,1,0,0,0,2,63,0,0,0,10,1,6,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,1,0,0,0,2,0,1,0,4,0,0,0,449,3,21,0,8,0
I-ORG,0,0,0,0,4,0,0,0,0,0,0,0,4,197,0,9,0,7
B-PER,1,0,1,0,1,0,1,0,2,0,0,0,10,0,909,1,2,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,496,0,0
B-PROD,2,0,0,0,0,0,0,0,7,0,0,0,17,0,8,0,73,0
I-PROD,0,0,0,0,2,0,0,0,6,1,0,0,0,4,3,4,0,40

NorNE_ne_CF_MATRIX_NO_O_norbert2_seed_37
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,60,1,1,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0
I-DRV,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,5,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
I-EVT,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_LOC,0,0,0,0,389,1,10,0,15,0,0,0,5,0,1,0,1,2
I-GPE_LOC,0,0,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,15,0,39,0,1,0,0,0,6,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,1,0,8,0,0,0,139,0,0,0,10,0,10,0,0,0
I-LOC,0,0,0,0,0,0,0,0,2,58,0,0,0,3,1,14,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,1,0,0,0,4,0,0,0,6,0,0,0,426,2,22,0,16,0
I-ORG,0,0,0,0,4,0,0,0,0,1,0,0,3,186,1,10,1,10
B-PER,1,0,0,0,0,0,1,0,2,1,0,0,12,0,886,2,4,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,502,0,0
B-PROD,3,0,0,0,0,0,0,0,2,0,0,0,10,0,7,0,79,0
I-PROD,0,1,0,0,1,0,0,0,7,1,0,0,0,6,0,2,2,45

